frame,rmsd,matched_atoms,has_clashes,num_clashes,success,output,error
frame_1664.pdb,2.552356989531471,33,False,0,True,aligned_frames/aligned_frame_1664.pdb,
frame_1668.pdb,2.08599615729687,33,False,0,True,aligned_frames/aligned_frame_1668.pdb,
frame_1672.pdb,2.496651239836676,33,False,0,True,aligned_frames/aligned_frame_1672.pdb,
frame_1676.pdb,2.1074891919214003,33,False,0,True,aligned_frames/aligned_frame_1676.pdb,
frame_168.pdb,1.5546683652462192,33,False,0,True,aligned_frames/aligned_frame_168.pdb,
frame_1680.pdb,3.2035868149161595,33,False,0,True,aligned_frames/aligned_frame_1680.pdb,
frame_1684.pdb,1.97301222892559,33,False,0,True,aligned_frames/aligned_frame_1684.pdb,
frame_1688.pdb,1.9855832235313904,33,False,0,True,aligned_frames/aligned_frame_1688.pdb,
frame_1692.pdb,2.154589937024752,33,False,0,True,aligned_frames/aligned_frame_1692.pdb,
frame_1696.pdb,1.6608165278548004,33,False,0,True,aligned_frames/aligned_frame_1696.pdb,
frame_1700.pdb,2.4659812440679363,33,False,0,True,aligned_frames/aligned_frame_1700.pdb,
frame_1704.pdb,3.4262233580581167,33,False,0,True,aligned_frames/aligned_frame_1704.pdb,
frame_1708.pdb,2.7465646985969387,33,False,0,True,aligned_frames/aligned_frame_1708.pdb,
frame_1712.pdb,2.3722372035340915,33,False,0,True,aligned_frames/aligned_frame_1712.pdb,
frame_1716.pdb,2.638794839599236,33,False,0,True,aligned_frames/aligned_frame_1716.pdb,
frame_172.pdb,2.828728257957978,33,False,0,True,aligned_frames/aligned_frame_172.pdb,
frame_1720.pdb,2.711965533653507,33,False,0,True,aligned_frames/aligned_frame_1720.pdb,
frame_1724.pdb,3.4106291394291883,33,False,0,True,aligned_frames/aligned_frame_1724.pdb,
frame_1728.pdb,2.2610954597735344,33,False,0,True,aligned_frames/aligned_frame_1728.pdb,
frame_1732.pdb,2.3517344258013573,33,False,0,True,aligned_frames/aligned_frame_1732.pdb,
frame_1736.pdb,4.009661769325561,33,False,0,True,aligned_frames/aligned_frame_1736.pdb,
frame_1740.pdb,2.5551776693356225,33,False,0,True,aligned_frames/aligned_frame_1740.pdb,
frame_1744.pdb,1.745904638225098,33,False,0,True,aligned_frames/aligned_frame_1744.pdb,
frame_1748.pdb,2.014192488092256,33,False,0,True,aligned_frames/aligned_frame_1748.pdb,
frame_1752.pdb,1.3429607232343996,33,False,0,True,aligned_frames/aligned_frame_1752.pdb,
frame_1756.pdb,1.754739536757042,33,False,0,True,aligned_frames/aligned_frame_1756.pdb,
frame_176.pdb,3.000723595344957,33,False,0,True,aligned_frames/aligned_frame_176.pdb,
frame_1760.pdb,1.667272541421435,33,False,0,True,aligned_frames/aligned_frame_1760.pdb,
frame_1764.pdb,2.25796865077417,33,False,0,True,aligned_frames/aligned_frame_1764.pdb,
frame_1768.pdb,2.3252198960338832,33,False,0,True,aligned_frames/aligned_frame_1768.pdb,
frame_1772.pdb,2.118974407012823,33,False,0,True,aligned_frames/aligned_frame_1772.pdb,
frame_1776.pdb,3.029733384856771,33,False,0,True,aligned_frames/aligned_frame_1776.pdb,
frame_1780.pdb,1.6090139752619794,33,False,0,True,aligned_frames/aligned_frame_1780.pdb,
frame_1784.pdb,1.6956479591514189,33,False,0,True,aligned_frames/aligned_frame_1784.pdb,
frame_1788.pdb,1.6632277623914238,33,False,0,True,aligned_frames/aligned_frame_1788.pdb,
frame_1792.pdb,2.1602800571638223,33,False,0,True,aligned_frames/aligned_frame_1792.pdb,
frame_1796.pdb,1.5643327188329674,33,False,0,True,aligned_frames/aligned_frame_1796.pdb,
frame_180.pdb,1.5487768909734765,33,False,0,True,aligned_frames/aligned_frame_180.pdb,
frame_1800.pdb,2.082481082958818,33,False,0,True,aligned_frames/aligned_frame_1800.pdb,
frame_1804.pdb,1.512700170521466,33,False,0,True,aligned_frames/aligned_frame_1804.pdb,
frame_1808.pdb,1.512700170521466,33,False,0,True,aligned_frames/aligned_frame_1808.pdb,
frame_1812.pdb,2.143521866802254,33,False,0,True,aligned_frames/aligned_frame_1812.pdb,
frame_1816.pdb,2.133862586437917,33,False,0,True,aligned_frames/aligned_frame_1816.pdb,
frame_1820.pdb,1.9893780172373243,33,False,0,True,aligned_frames/aligned_frame_1820.pdb,
frame_1824.pdb,3.312399639798164,33,False,0,True,aligned_frames/aligned_frame_1824.pdb,
frame_1832.pdb,42.8577938200948,33,False,0,True,aligned_frames/aligned_frame_1832.pdb,
frame_1836.pdb,4.168134469039212,33,False,0,True,aligned_frames/aligned_frame_1836.pdb,
